,Year,Region,Accommodation,Administrative and Support Services,Agriculture,Construction,Education and Training,"Electricity, Gas, Water, and Waste services",Financial and Insurance Services,Food and beverage services,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services","Forestry, Fishing, and Mining","GST on Production, Import Duties and Other Taxes",Gross Domestic Product,Health Care and Social Assistance,"Information Media, Telecommunications and Other Services",Manufacturing,Other Manufacturing,Owner-Occupied Property Operation,Primary Manufacturing,"Professional, Scientific, and Technical Services",Public Administration and Safety,"Rental, Hiring and Real Estate Services",Retail Trade,Total,Total All Industries,"Transport, Postal and Warehousing",Wholesale Trade,Population
85,2004,Total North Island,677.0,2164.0,4031.0,5042.0,4587.0,3366.0,6280.0,1284.0,5800.0,2434.0,8040.0,113119.0,5407.0,9137.0,16560.0,,7489.0,,8271.0,4429.0,6812.0,5505.0,36629.0,105079.0,4907.0,6694.0,3088200.0
86,2004,Total South Island,301.0,569.0,2220.0,1764.0,1457.0,845.0,1009.0,570.0,1762.0,918.0,2231.0,31383.0,1787.0,1932.0,4707.0,,2350.0,,1400.0,881.0,1828.0,1696.0,32277.0,29152.0,1678.0,1238.0,972300.0
87,2004,Waikato,77.0,111.0,1185.0,670.0,584.0,556.0,315.0,146.0,1041.0,485.0,845.0,11882.0,630.0,730.0,1639.0,504.0,810.0,1135.0,501.0,328.0,715.0,608.0,31089.0,11038.0,475.0,473.0,382200.0
88,2004,Wellington,119.0,426.0,158.0,718.0,726.0,674.0,1901.0,226.0,777.0,103.0,1457.0,20478.0,896.0,2538.0,2257.0,809.0,1142.0,1447.0,2045.0,1937.0,905.0,766.0,44967.0,19021.0,667.0,816.0,455400.0
89,2004,West Coast,16.0,13.0,134.0,53.0,32.0,,24.0,30.0,95.0,,63.0,881.0,49.0,35.0,81.0,16.0,58.0,65.0,21.0,25.0,38.0,48.0,27966.0,818.0,51.0,16.0,31500.0
90,2005,Auckland,338.0,1309.0,165.0,2540.0,2264.0,1328.0,3758.0,627.0,1492.0,165.0,4125.0,57355.0,2528.0,5056.0,8968.0,3933.0,3844.0,5036.0,4815.0,1363.0,4054.0,2669.0,42860.0,53230.0,2682.0,4756.0,1338200.0
91,2005,Bay of Plenty,66.0,165.0,500.0,485.0,303.0,283.0,200.0,122.0,580.0,297.0,565.0,7862.0,491.0,309.0,1105.0,309.0,626.0,796.0,383.0,201.0,524.0,449.0,30145.0,7297.0,494.0,296.0,260800.0
92,2005,Canterbury,163.0,367.0,933.0,1148.0,817.0,440.0,717.0,303.0,699.0,259.0,1343.0,18671.0,1118.0,1189.0,2863.0,1255.0,1421.0,1608.0,1026.0,561.0,1143.0,958.0,35268.0,17328.0,992.0,908.0,529400.0
93,2005,Gisborne,8.0,18.0,114.0,92.0,71.0,18.0,15.0,15.0,98.0,80.0,83.0,1156.0,79.0,48.0,117.0,20.0,74.0,98.0,41.0,45.0,76.0,67.0,25193.0,1073.0,66.0,29.0,45900.0
94,2005,Hawke's Bay,28.0,83.0,479.0,251.0,169.0,104.0,113.0,52.0,294.0,190.0,364.0,5055.0,256.0,162.0,1280.0,198.0,317.0,1083.0,202.0,138.0,246.0,245.0,33496.0,4690.0,213.0,163.0,150900.0
