Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
RNAA.SG01NAC34B0121DD1,2009.03,4359,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0121DD1,2010.03,4520,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0121DD1,2011.03,4686,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0121DD1,2012.03,5066,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0121DD1,2013.03,5400,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0121DD1,2014.03,5483,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0121DD1,2015.03,5607,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0121DD1,2016.03,5631,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0121DD1,2017.03,5852,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0121DD1,2018.03,5876,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0121DD1,2019.03,6057,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0121DD1,2020.03,6430,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0121DD1,2021.03,6127,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0121DD1,2022.03,6829,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Electricity, Gas, Water, and Waste services",,
